,id,total_bill,sex,smoker,day,time,size,tip
179,180,34.63,Male,Yes,Sun,Dinner,2,3.55
180,181,34.65,Male,Yes,Sun,Dinner,4,3.68
181,182,23.33,Male,Yes,Sun,Dinner,2,5.65
182,183,45.35,Male,Yes,Sun,Dinner,3,3.5
183,184,23.17,Male,Yes,Sun,Dinner,4,6.5
184,185,40.55,Male,Yes,Sun,Dinner,2,3.0
185,186,20.69,Male,No,Sun,Dinner,5,5.0
186,187,20.9,Female,Yes,Sun,Dinner,3,3.5
187,188,30.46,Male,Yes,Sun,Dinner,5,2.0
188,189,18.15,Female,Yes,Sun,Dinner,3,3.5
189,190,23.1,Male,Yes,Sun,Dinner,3,4.0
190,191,15.69,Male,Yes,Sun,Dinner,2,1.5
191,192,19.81,Female,Yes,Thur,Lunch,2,4.19
192,193,28.44,Male,Yes,Thur,Lunch,2,2.56
193,194,15.48,Male,Yes,Thur,Lunch,2,2.02
194,195,16.58,Male,Yes,Thur,Lunch,2,4.0
195,196,7.56,Male,No,Thur,Lunch,2,1.44
196,197,10.34,Male,Yes,Thur,Lunch,2,2.0
197,198,43.11,Female,Yes,Thur,Lunch,4,5.0
198,199,13.0,Female,Yes,Thur,Lunch,2,2.0
199,200,13.51,Male,Yes,Thur,Lunch,2,2.0
200,201,18.71,Male,Yes,Thur,Lunch,3,4.0
201,202,12.74,Female,Yes,Thur,Lunch,2,2.01
202,203,13.0,Female,Yes,Thur,Lunch,2,2.0
203,204,16.4,Female,Yes,Thur,Lunch,2,2.5
204,205,20.53,Male,Yes,Thur,Lunch,4,4.0
205,206,16.47,Female,Yes,Thur,Lunch,3,3.23
206,207,26.59,Male,Yes,Sat,Dinner,3,3.41
207,208,38.73,Male,Yes,Sat,Dinner,4,3.0
208,209,24.27,Male,Yes,Sat,Dinner,2,2.03
209,210,12.76,Female,Yes,Sat,Dinner,2,2.23
210,211,30.06,Male,Yes,Sat,Dinner,3,2.0
211,212,25.89,Male,Yes,Sat,Dinner,4,5.16
212,213,48.33,Male,No,Sat,Dinner,4,9.0
213,214,13.27,Female,Yes,Sat,Dinner,2,2.5
214,215,28.17,Female,Yes,Sat,Dinner,3,6.5
215,216,12.9,Female,Yes,Sat,Dinner,2,1.1
216,217,28.15,Male,Yes,Sat,Dinner,5,3.0
217,218,11.59,Male,Yes,Sat,Dinner,2,1.5
218,219,7.74,Male,Yes,Sat,Dinner,2,1.44
219,220,30.14,Female,Yes,Sat,Dinner,4,3.09
220,221,12.16,Male,Yes,Fri,Lunch,2,2.2
221,222,13.42,Female,Yes,Fri,Lunch,2,3.48
222,223,8.58,Male,Yes,Fri,Lunch,1,1.92
223,224,15.98,Female,No,Fri,Lunch,3,3.0
224,225,13.42,Male,Yes,Fri,Lunch,2,1.58
225,226,16.27,Female,Yes,Fri,Lunch,2,2.5
226,227,10.09,Female,Yes,Fri,Lunch,2,2.0
227,228,20.45,Male,No,Sat,Dinner,4,3.0
228,229,13.28,Male,No,Sat,Dinner,2,2.72
229,230,22.12,Female,Yes,Sat,Dinner,2,2.88
230,231,24.01,Male,Yes,Sat,Dinner,4,2.0
231,232,15.69,Male,Yes,Sat,Dinner,3,3.0
232,233,11.61,Male,No,Sat,Dinner,2,3.39
233,234,10.77,Male,No,Sat,Dinner,2,1.47
234,235,15.53,Male,Yes,Sat,Dinner,2,3.0
235,236,10.07,Male,No,Sat,Dinner,2,1.25
236,237,12.6,Male,Yes,Sat,Dinner,2,1.0
237,238,32.83,Male,Yes,Sat,Dinner,2,1.17
238,239,35.83,Female,No,Sat,Dinner,3,4.67
239,240,29.03,Male,No,Sat,Dinner,3,5.92
240,241,27.18,Female,Yes,Sat,Dinner,2,2.0
241,242,22.67,Male,Yes,Sat,Dinner,2,2.0
242,243,17.82,Male,No,Sat,Dinner,2,1.75
243,244,18.78,Female,No,Thur,Dinner,2,3.0
